"№ з/п","Повне найменування","Код суб'єкта управління","Назва суб'єкта управління","Організаційна форма cуб'єкта господарювання (зокрема державні підприємства - ДП, господарські товариства з КПД >50% - ГТ)"
"1712","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЦЕНТР""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1713","ДЕРЖАВНЕ МАЛЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ПО РОЗРОБЦІ ТЕХНОЛОГІЙ І ОБЛАДНАННЯ ДЛЯ ВИГОТОВЛЕННЯ ЗВАРНИХ КОНСТРУКЦІЙ ""ТОВ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1714","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ПЕТРОВСЬКИЙ ЗАВОД ВУГІЛЬНОГО МАШИНОБУДУВАННЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1715","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""МЕТАЛІСТ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1716","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ШАХТА ""АЛМАЗНА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1717","ДИТЯЧИЙ САНАТОРНО - ОЗДОРОВЧИЙ КОМПЛЕКС ""СОНЯЧНИЙ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1718","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ТОРФОДОБУВНЕ ПІДПРИЄМСТВО ""ЛІТИН""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1719","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЗАПОРІЗЬКИЙ ЕКСПЕРТНО-ТЕХНІЧНИЙ ЦЕНТР ДЕРЖПРАЦІ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1720","КИЇВСЬКЕ ОБЛАСНЕ ДЕРЖАВНЕ ОБ'ЕДНАННЯ СПИРТОВОЇ ТА ЛІКЕРО-ГОРІЛЧАНОЇ ПРОМИСЛОВОСТІ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1721","ДЕРЖАВНЕ ПІДПРИЄМСТВО ВИДАВНИЦТВО ""СОЦІНФОРМ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1722","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""МАШКОМПЛЕКТ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1723","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЦЕНТР МІЖНАРОДНИХ ПРОГРАМ МІНІСТЕРСТВА ОХОРОНИ ЗДОРОВ'Я УКРАЇНИ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1724","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЦЕНТР З ВИПРОБУВАНЬ ТА СЕРТИФІКАЦІЇ ПРОДУКЦІЇ БУДІВЕЛЬНОГО МАШИНОБУДУВАННЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1725","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ФІНМАШ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1726","ДЕРЖАВНЕ ПІДПРИЄМСТВО НАУКОВО-ТЕХНІЧНИЙ ЦЕНТР ЗАБЕЗПЕЧЕННЯ ЯКОСТІ ТА СЕРТИФІКАЦІЇ ""СЕПРОЗ"" НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1727","ДЕРЖАВНА ДОСЛІДНО-ЕКСПЕРИМЕНТАЛЬНА АГРОФІРМА ""АСКАНІЯ-НОВА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1728","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРАЇНСЬКА АВІАЦІЙНА ТРАНСПОРТНА КОМПАНІЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1729","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""102 ПІДПРИЄМСТВО ЕЛЕКТРИЧНИХ МЕРЕЖ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1730","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""СЕВАСТОПОЛЬСЬКИЙ АВТОМОБІЛЬНИЙ РЕМОНТНИЙ ЗАВОД""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1731","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРОБОРОНРЕСУРСИ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1732","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""ВІННИЦЬКЕ ІНЖЕНЕРНО-БУДІВЕЛЬНЕ УПРАВЛІННЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1733","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""УКРОБОРОНПОСТАЧАЛЬНИК""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1734","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ВИДАВНИЧО-ПОЛІГРАФІЧНЕ ПІДПРИЄМСТВО МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""СЛАВА І ЧЕСТЬ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1735","ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""ЦИРКОНІЙ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1736","ДЕРЖАВНЕ ГОСПРОЗРАХУНКОВЕ ПІДПРИЄМСТВО ПАРФУМО-КОСМЕТИЧНИХ ВИРОБІВ ""ГЕРМЕС-ПАРФУМ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1737","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ОРГАН З СЕРТИФІКАЦІЇ ОС ""КРАНТЕСТ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1738","ДЕРЖАВНЕ ПІДПРИЄМСТВО ШАХТА ІМЕНІ П.Л.ВОЙКОВА","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1739","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ШАХТА №71 "" ІНДУСТРІЯ ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1740","НОВОДНІСТРОВСЬКА ДЕРЖАВНА ШВЕЙНО-ТРИКОТАЖНА ФАБРИКА","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1741","ДЕРЖАВНЕ РЕГІОНАЛЬНЕ ГЕОЛОГІЧНЕ ПІДПРИЄМСТВО ""ДОНЕЦЬКГЕОЛОГІЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1742","КРИМСЬКЕ ВИРОБНИЧЕ ПІДПРИЄМСТВО ПО МІКРОЗРОШУВАННЮ ТА ВОДОПОСТАЧАННЮ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1743","ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""ВІТРОЕНЕРГОСЕРВІС""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1744","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СЕРВІС""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1745","НАУКОВО-ІНЖЕНЕРНИЙ ЦЕНТР ПО РОЗРОБЦІ ТЕХНОЛОГІЙ І ОБЛАДНАННЯ ДЛЯ ВИГОТОВЛЕННЯ ЗВАРНИХ КОНСТРУКЦІЙ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1746","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ТЕХНОКІМ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1747","ДЕРЖАВНЕ ДОСЛІДНО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""БІОВЕТПРЕПАРАТ"" ІНСТИТУТУ ВЕТЕРИНАРНОЇ МЕДИЦИНИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ АГРАРНИХ НАУК УКРАЇНИ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1748","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УПРАВЛІННЯ КАПІТАЛЬНОГО БУДІВНИЦТВА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1749","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ІНФОРМАЦІЙНИЙ ЦЕНТР "" МІНІСТЕРСТВА ЮСТИЦІЇ УКРАЇНИ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1750","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ГОСПРОЗРАХУНКОВИЙ НАУКОВО-ТЕХНОЛОГІЧНИЙ ЦЕНТР ГАЗОТЕРМІЧНИХ ПОКРИТЬ ""ДЕЛЬТА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1751","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЧОРНОБИЛЬПРОМЕНЕРГОБУД""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1752","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДОНЕЦЬКИЙ РЕГІОНАЛЬНИЙ ЦЕНТР ""ЕНЕРГОЗБЕРЕЖЕННЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1753","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СХІДНЕ РЕГІОНАЛЬНЕ ГЕОЛОГІЧНЕ ПІДПРИЄМСТВО""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1754","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ШАХТОБУДІВЕЛЬНЕ УПРАВЛІННЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1755","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""АВТОПРАЦЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1756","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ОРІОН-ТЕЛЕКОМ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1757","КИЇВСЬКЕ НАУКОВО-ВИРОБНИЧЕ ОБ'ЄДНАННЯ ""ЕКОЛОГІЧНІ ТЕХНОЛОГІЇ ТА НОРМАТИВИ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1758","ПІВНІЧНЕ ДЕРЖАВНЕ РЕГІОНАЛЬНЕ ГЕОЛОГІЧНЕ ПІДПРИЄМСТВО ""ПІВНІЧГЕОЛОГІЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1759","ДЕРЖАВНЕ СПЕЦІАЛІЗОВАНЕ АВТОТРАНСПОРТНЕ ПІДПРИЄМСТВО ПО ПЕРЕВЕЗЕННЮ НЕБЕЗПЕЧНИХ ВАНТАЖІВ ІНСТИТУТУ СЦИНТИЛЯЦІЙНИХ МАТЕРІАЛІВ НАН УКРАЇНИ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1760","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""КОСМІЧНА ІННОВАЦІЙНО-ІНВЕСТИЦІЙНА КОМПАНІЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1761","ГНІЗДИЧІВСЬКИЙ ДЕРЖАВНИЙ СПИРТОВИЙ ЗАВОД","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1762","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""АПТЕКА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1763","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЦЕНТР АЛЬТЕРНАТИВНИХ ВИДІВ ПАЛИВА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1764","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРРИБА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1765","ДЕРЖАВНЕ ПІДПРИЄМСТВО З ВПРОВАДЖЕННЯ І КОНСТРУЮВАННЯ ЗАХОДІВ ЗАХИСТУ БУДІВЕЛЬ І СПОРУД НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1766","ЗАЛІЗЕЦЬКА ДЕРЖАВНА СІЛЬСЬКОГОСПОДАРСЬКА МАШИННО-ТЕХНОЛОГІЧНА СТАНЦІЯ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1767","ДЕРЖАВНЕ ПІДПРИЄМСТВО ІНЖЕНЕРНОЇ ГЕОДЕЗІЇ ""АЗОВІНЖГЕОДЕЗІЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1768","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАУКОВИЙ ЦЕНТР ТОЧНОГО МАШИНОБУДУВАННЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1769","ХАРКІВСЬКИЙ ФУМІГАЦІЙНИЙ ЗАГІН","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1770","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДОСЛІДНЕ ГОСПОДАРСТВО ""ПЕРЕМОГА"" ПРИКАРПАТСЬКОЇ ДЕРЖАВНОЇ СІЛЬСЬКОГОСПОДАРСЬКОЇ ДОСЛІДНОЇ СТАНЦІЇ ІНСТИТУТУ СІЛЬСЬКОГО ГОСПОДАРСТВА КАРПАТСЬКОГО РЕГІОНУ НАЦІОНАЛЬНОЇ АКАДЕМ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1771","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРАЇНСЬКИЙ ГАЛУЗЕВИЙ НАУКОВО-ІНЖЕНЕРНИЙ ЦЕНТР ""УКРЕНЕРГОДІАГНОСТИКА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1772","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ВІСНИК ШАХТАРЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1773","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРМЕДДІЯЛЬНІСТЬ"" МІНІСТЕРСТВА ОХОРОНИ ЗДОРОВ'Я УКРАЇНИ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1774","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ФУМІГАЦІЙНИЙ ЗАГІН""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1775","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ШАХТА ІМЕНІ СЕРГІЯ МИРОНОВИЧА КІРОВА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1776","ДЕРЖАВНЕ ПІДПРИЄМСТВО ШАХТА ГОЛУБІВСЬКА","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1777","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ШАХТА""ПЕРЕВАЛЬСЬКА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1778","ДЕРЖАВНЕ ПІДПРИЄМСТВО ДЕРЖАВНА НОВОГАЛЕЩИНСЬКА БІОЛОГІЧНА ФАБРИКА","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1779","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ТЕПЛОЕЛЕКТРОЦЕНТРАЛЬ-2 ""ЕСХАР""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1780","МАНЯТИНСЬКА ДЕРЖАВНА СІЛЬСЬКОГОСПОДАРСЬКА МАШИННО-ТЕХНОЛОГІЧНА СТАНЦІЯ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1781","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЕКОЕНЕРГОПРОМ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1782","ДЕРЖАВНЕ ПІДПРИЄМСТВО МІЖГОСПОДАРСЬКИЙ СПЕЦІАЛІЗОВАНИЙ ЦЕНТР ПО ІНЖЕНЕРНОМУ І ТЕХНОЛОГІЧНОМУ ЗАБЕЗПЕЧЕННЮ БУРЯКОЦУКРОВОГО ВИРОБНИЦТВА ""СУМИПРОМАГРОПОСТАЧ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1783","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДОСЛІДНЕ ГОСПОДАРСТВО БАХМУТСЬКОЇ ДОСЛІДНОЇ СТАНЦІЇ РОЗСАДНИЦТВА ІНСТИТУТУ САДІВНИЦТВА НАЦІОНАЛЬНОЇ АКАДЕМІЇ АГРАРНИХ НАУК УКРАЇНИ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1784","ДЕРЖАВНЕ ПІДПРИЄМСТВО ПО ЗБУТУ ВУГІЛЬНОЇ ПРОДУКЦІЇ ""БУРВУГЛЕЗБУТ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1785","ДЕРЖАВНИЙ ГОСПРОЗРАХУНКОВИЙ НАУКОВО-ТЕХНІЧНИЙ ЦЕНТР ЛОКАЛЬНОГО ПРОГНОЗУВАННЯ І ДОСЛІДЖЕННЯ РОДОВИЩ БЛАГОРОДНИХ І РІДКІСНИХ МЕТАЛІВ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1786","ВИРОБНИЧЕ ОБ'ЄДНАННЯ ПО ВИДОБУТКУ БУРОГО ВУГІЛЛЯ ТА ЙОГО ПЕРЕРОБЦІ ""БУРВУГЛЕКОМПЛЕКС""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1787","ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""АЕРОГЕОДЕЗІЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1788","ЦЕНТР ДІАГНОСТИЧНИХ ДОСЛІДЖЕНЬ ПРИРОДНИХ ТА ТЕХНОГЕННИХ ОБ'ЄКТІВ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1789","ДЕРЖАВНЕ ПІДПРИЄМСТВО КРИМСЬКИЙ РЕГІОНАЛЬНИЙ ЦЕНТР ДЕРЖАВНОГО ЗЕМЕЛЬНОГО КАДАСТРУ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1790","КОТОВСЬКА ДЕРЖАВНА СІЛЬСЬКОГОСПОДАРСЬКА МАШИНО-ТЕХНОЛОГІЧНА СТАНЦІЯ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1791","ПІДПРИЄМСТВО ""МАЛИНІВСЬКИЙ ДЕРЖАВНИЙ МАШИНОБУДІВНИЙ ЗАВОД""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1792","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ІЗЮМСЬКИЙ ДЕРЖАВНИЙ ЗАВОД ОФТАЛЬМОЛОГІЧНОЇ ЛІНЗИ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1793","ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""АЛКОН-ТВЕРДОСПЛАВ"" НАУКОВО-ТЕХНОЛОГІЧНОГО АЛМАЗНОГО КОНЦЕРНУ ""АЛКОН"" НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1794","ДЕРЖАВНЕ ГОСПРОЗРАХУНКОВЕ ПІДПРИЄМСТВО ""АЛМАЗІНСТРУМЕНТ"" НАН УКРАЇНИ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1795","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ПІВДЕННИЙ РЕГІОНАЛЬНИЙ ІНФОРМАЦІЙНО-НАВЧАЛЬНИЙ ЦЕНТР З ПИТАНЬ БАНКРУТСТВА""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1796","МІЖВІДОМЧИЙ НАУКОВО-ДОСЛІДНИЙ ГОСПРОЗРАХУНКОВИЙ ЦЕНТР ГЕОДИНАМІЧНИХ ДОСЛІДЖЕНЬ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1797","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УПРАВЛІННЯ З ЕКСПЛУАТАЦІЇ АДМІНБУДИНКІВ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1798","ДЕРЖАВНЕ ПІДПРИЄМСТВО КІЛЬЧЕНСЬКА ДЕРЖАВНА СІЛЬСЬКОГОСПОДАРСЬКА МАШИНО-ТЕХНОЛОГІЧНА СТАНЦІЯ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1799","""ДЕРЖАВНЕ ПРОМИСЛОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1800","ВИРОБНИЧЕ ОБ'ЄДНАННЯ З ВИДОБУТКУ ВУГІЛЛЯ ""КРАСНОАРМІЙСКВУГІЛЛЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1801","ДЕРЖАВНЕ НАУКОВО-ПРОМИСЛОВЕ ПІДПРИЄМСТВО ""УКРЕНЕРГОМАШ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1802","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ПІВНІЧНО-СХІДНИЙ РЕГІОНАЛЬНИЙ ЕКСПЕРТНИЙ ЦЕНТР З ЕНЕРГОЗБЕРЕЖЕННЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1803","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАУКОВО-ТЕХНІЧНИЙ ЦЕНТР ОЦІНКИ ВІДПОВІДНОСТІ У БУДІВНИЦТВІ ""БУДЦЕНТР""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1804","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ПІВДЕНЬ-ОЛЬВІЯ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1805","ЧЕРНІГІВСЬКА ДЕРЖАВНА СІЛЬСЬКОГОСПОДАРСЬКА МАШИННО-ТЕХНОЛОГІЧНА СТАНЦІЯ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1806","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""АЛЬТЕРНАТИВА-ВС""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1807","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДНІПРОПЕТРОВСЬКАВТОТРАНССЕРВІС""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1808","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""КІРОВОГРАДСЬКИЙ ОБЛАСНИЙ ЦЕНТР АДАПТАЦІЇ ВІЙСЬКОВОСЛУЖБОВЦІВ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1809","СТРИЙСЬКА ДЕРЖАВНА СІЛЬСЬКОГОСПОДАРСЬКА МАШИННО-ТЕХНОЛОГІЧНА СТАНЦІЯ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1810","ДЕРЖАВНЕ ПІДПРИЄМСТВО ШИРОКІВСЬКА ДЕРЖАВНА СІЛЬСЬКОГОСПОДАРСЬКА МАШИНО-ТЕХНОЛОГІЧНА СТАНЦІЯ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1811","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ПРОММАРКЕТ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1812","КОВЕЛЬСЬКА РАЙОННА ДЕРЖАВНА СІЛЬСЬКОГОСПОДАРСЬКА МАШИННО - ТЕХНОЛОГІЧНА СТАНЦІЯ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1813","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""РЕЙТИНГОВА АГЕНЦІЯ ПРОМИСЛОВОСТІ""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1814","ДЕРЖАВНЕ ПІДПРИЄМСТВО ПІДЗЕМНОГО ХАРЧУВАННЯ","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
"1815","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДОНЕЦЬКАВТОТРАНССЕРВІС""","28784","ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ ","ДП"
